"" "" "" "" "" "y"
"1" 0.417452968657017 0.366386962588876 0.884195269783959 0.54025966161862 0.318753923289478 14.0825767704438
"2" 0.236482948297635 0.212237525032833 0.792982272338122 0.350620510056615 0.228834759443998 7.0908987450907
"3" 0.0219250598456711 0.961244051577523 0.485838045366108 0.827200728235766 0.440665141446516 10.941796866524
"4" 0.888902375707403 0.804554128320888 0.83561978302896 0.88359483378008 0.950415190774947 22.5551148256179
"5" 0.150361493462697 0.0298627046868205 0.790711929323152 0.538010257296264 0.695297942962497 9.76668298902774
"6" 0.531319511588663 0.255146640818566 0.366782003547996 0.889183420455083 0.953532390063629 18.4264344204982
"7" 0.419541217386723 0.288724401732907 0.192960003623739 0.494205564493313 0.739565820200369 14.0290091672097
"8" 0.901167725678533 0.0160504318773746 0.26532029826194 0.375991338398308 0.234946748474613 7.253990059468
"9" 0.580994652351364 0.169808602426201 0.506290049757808 0.0965206169057637 0.508522532880306 6.09532232053895
"10" 0.588315896457061 0.377205890603364 0.15883540851064 0.0905051359441131 0.820615945151076 14.4074703607069
"11" 0.398040953557938 0.988211129792035 0.631043238332495 0.0399605857674032 0.278897705487907 13.0002077611029
"12" 0.922743492526934 0.562069976003841 0.585426477482542 0.223342421464622 0.581608350388706 15.0321629750684
"13" 0.113134082872421 0.365616149734706 0.157984951743856 0.337803184520453 0.284335575997829 8.55527051797769
"14" 0.356663399841636 0.960203482303768 0.540421476121992 0.0107929259538651 0.244643305195495 9.52221528077071
"15" 0.264919796027243 0.916271134046838 0.346301861805841 0.499816272640601 0.740933532826602 15.5551923190775
"16" 0.980642372043803 0.273861341178417 0.543730013538152 0.334937014617026 0.501765799010172 13.9172372454587
"17" 0.938648575684056 0.540623136563227 0.645981399342418 0.227050644112751 0.596510679228231 14.9560431493787
"18" 0.62143338797614 0.245061038760468 0.951407607877627 0.920249263523147 0.85083648795262 21.3487618420175
"19" 0.744286224478856 0.49306318233721 0.283915626816452 0.486414968967438 0.249394628917798 17.0260976143824
"20" 0.333012397633865 0.331032564165071 0.56051561050117 0.0712014080490917 0.258582748938352 6.84111342104505
"21" 0.580373788019642 0.212490892736241 0.772036164533347 0.907176847336814 0.328006473835558 15.8721991260656
"22" 0.418816044460982 0.799662720179185 0.252415788127109 0.681430302560329 0.437479839893058 18.4460631414972
"23" 0.842180792940781 0.237710231449455 0.893372563645244 0.889368631644174 0.805478237336501 22.4446361703689
"24" 0.935450898949057 0.718761161668226 0.601705718552694 0.671344098402187 0.0462307550478727 16.9707687381707
"25" 0.808797042118385 0.51486786827445 0.576311740791425 0.520202855812386 0.758878291351721 17.6743737051281
"26" 0.692865415476263 0.470444546313956 0.75805523712188 0.275904467329383 0.855601270217448 16.1198712419142
"27" 0.60294046998024 0.761220169719309 0.406588803976774 0.450226818677038 0.186308588832617 16.2589955765483
"28" 0.177922866307199 0.540198615286499 0.300323345465586 0.0360811080317944 0.19764627283439 2.84438397062884
"29" 0.284570594783872 0.189394776476547 0.0751288747414947 0.837591894436628 0.0793250123970211 12.1697863447026
"30" 0.478724404703826 0.713005383498967 0.87561023212038 0.594709143741056 0.00697868131101131 17.1790799120078
"31" 0.706500922329724 0.271348353708163 0.515663558617234 0.478122546803206 0.170082145836204 11.7957442449097
"32" 0.437117141205817 0.443493852391839 0.499860641313717 0.682310102973133 0.343981063459069 13.6740821780334
"33" 0.708991709630936 0.89636535034515 0.0441736120264977 0.644782939692959 0.795703572686762 23.5333527570628
"34" 0.306796116521582 0.480491695692763 0.781877371482551 0.754517239285633 0.42939947382547 14.8568755927573
"35" 0.174462075578049 0.546737544005737 0.146411832189187 0.361957443179563 0.791183675406501 13.3984977803981
"36" 0.690947560360655 0.844745903508738 0.66708450531587 0.144199874484912 0.905294043244794 17.7304448218951
"37" 0.656856768066064 0.708399164723232 0.502522348659113 0.320770938647911 0.497575250454247 15.6463279218683
"38" 0.499941414222121 0.445034086005762 0.957482152618468 0.296115286182612 0.736614274093881 17.4838297936994
"39" 0.0312949763610959 0.415004764450714 0.274873485788703 0.941152077401057 0.134862689068541 12.045998183316
"40" 0.192760946461931 0.396855971310288 0.821166767040268 0.0974291614256799 0.88235603296198 10.5420860079219
"41" 0.0587445385754108 0.109833467053249 0.249702659901232 0.481844538357109 0.0532298525795341 8.74631824944907
"42" 0.343230603961274 0.436031592776999 0.531443605199456 0.0619176279287785 0.241608588024974 4.8641221457495
"43" 0.487473235465586 0.810540210688487 0.272496080491692 0.849695048062131 0.634914437541738 22.2687967569228
