"" "" "" "" "" "" "" "" "" "" "y"
"1" 0.239606710383669 0.138538560131565 0.0616094244178385 0.871805021073669 0.595569584751502 0.0597310056909919 0.63354170625098 0.939054067479447 0.802349541336298 0.634649808518589 18.2017821955813
"2" 0.647764874156564 0.0475245749112219 0.35532134771347 0.967197048477829 0.944378237938508 0.0525821361225098 0.215981491142884 0.558589052874595 0.47949518612586 0.997656602412462 15.4490216129658
"3" 0.975670760730281 0.0339188734069467 0.577037754002959 0.866916270926595 0.12865765299648 0.972770247841254 0.905941029312089 0.57100012502633 0.177401563152671 0.505074343876913 8.14253356450757
"4" 0.377998807933182 0.916089018341154 0.535031558480114 0.437715301522985 0.524701888905838 0.794607590185478 0.586245939601213 0.107309120241553 0.397133344551548 0.933232999639586 18.0746141559439
"5" 0.464144128607586 0.840200393926352 0.604272830300033 0.191937792114913 0.931875708047301 0.0316677016671747 0.168583858758211 0.388762210728601 0.814226992661133 0.191208887146786 15.1222647682981
"6" 0.812296295771375 0.1788714164868 0.486148978350684 0.0822944045066833 0.441982066258788 0.543284805025905 0.683197691803798 0.977478005457669 0.941357076400891 0.484762544510886 6.93808769163874
"7" 0.494408113183454 0.495267945108935 0.131626568036154 0.583451637532562 0.401971613289788 0.0175970334094018 0.113990662852302 0.221451952122152 0.173349933931604 0.634125648066401 17.6103432601291
"8" 0.0503090226557106 0.306958527071401 0.96457004873082 0.0703614954836667 0.365522500360385 0.776669898070395 0.527885041665286 0.220063263550401 0.354940799530596 0.202303132042289 7.21252786044905
"9" 0.130621740594506 0.274376961868256 0.742461576359347 0.527662655804306 0.572829977376387 0.757301493315026 0.941509603289887 0.282170991180465 0.705040041357279 0.429601910756901 8.92141780553782
"10" 0.161438316106796 0.128243855433539 0.366839384660125 0.472288285382092 0.106167400954291 0.0105481466744095 0.148946444038302 0.119221175322309 0.959240919910371 0.670688453828916 4.74773004642668
"11" 0.0894531598314643 0.429381913272664 0.150825294898823 0.0481913706753403 0.657213832018897 0.81791408197023 0.589121523778886 0.180133660789579 0.427801409969106 0.821587861981243 8.80579330783389
"12" 0.403614088194445 0.695944963721558 0.226939673302695 0.594540807651356 0.800479157827795 0.856345876585692 0.878276449628174 0.284447416896001 0.135915317805484 0.358691193396226 18.4536092375387
"13" 0.0638598678633571 0.335060718469322 0.745116808917373 0.791271215071902 0.160081139067188 0.422309697605669 0.178157206624746 0.644275576109067 0.813741239253432 0.618271555984393 11.4143995596242
"14" 0.562005922431126 0.701246433425695 0.050592377781868 0.598868683679029 0.499149806331843 0.63429570524022 0.47083354764618 0.960355026647449 0.8068449604325 0.347069602226838 23.6832408533524
"15" 0.336524107959121 0.840534914750606 0.593993296846747 0.0279159292113036 0.138865772867575 0.418075025547296 0.141462349332869 0.071094990009442 0.908110354794189 0.755966565106064 8.13311449627621
"16" 0.540642281062901 0.882632006658241 0.153250648407266 0.39572663186118 0.688598210224882 0.324664350133389 0.0993826135527343 0.0379184696357697 0.703601886983961 0.565426904708147 19.072391868898
"17" 0.913231221958995 0.766589350067079 0.762780725024641 0.106243964517489 0.480641926405951 0.765787225915119 0.290351454168558 0.0404609409160912 0.458796519786119 0.627588032977656 10.9426366064768
"18" 0.38688075914979 0.322027627611533 0.995281064882874 0.0241113880183548 0.20781287481077 0.704655513167381 0.245475998381153 0.416924799326807 0.0816244133748114 0.392214556923136 11.9009448958619
"19" 0.960267164045945 0.0421170077752322 0.173998110694811 0.840897767804563 0.717721335589886 0.919051357079297 0.722559324000031 0.252264143666252 0.730743972118944 0.658381888410076 14.6340787502129
"20" 0.384686591336504 0.8927099222783 0.619130822597072 0.32639992586337 0.333421071292832 0.610136551316828 0.53627455397509 0.108593236422166 0.932681515347213 0.683106247335672 13.6512168080665
"21" 0.941601979313418 0.638105145189911 0.537983173970133 0.2942976471968 0.529427384026349 0.0558548604603857 0.299001172650605 0.860879449406639 0.0359482921194285 0.77632555551827 13.7573798613327
"22" 0.680635657161474 0.554493116214871 0.818258262239397 0.822897979756817 0.593498748727143 0.736152135068551 0.199700410012156 0.151392416795716 0.107039442518726 0.767656422685832 23.2316761296172
